loggingTime,loggingSample,identifierForVendor,deviceID,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,IP_en0,IP_pdp_ip0,deviceOrientation,batteryState,batteryLevel,state
2016-07-07 14:24:47.033,1,359D9C92-F92A-4B76-879A-D4D13BE6E09A,my_iOS_device_1,1467923085.999984,31.74870938996947,-106.4868711960562,1136.097,0.45,10.546875,3,5,-9999,1467923086.975104,-9.702582359313965,-42.1424560546875,-106.0567626953125,33.55604553222656,25.2668399810791,25,400664.206125375,0.1041259765625,-0.751312255859375,-0.691741943359375,400664.196740375,-0.0868603305334794,-0.5409370195591507,-0.0307965285295673,400664.161781375,-0.1086586475822899,0.2035053197577224,0.8604665826753293,-0.3392003178596497,0.006548072677105665,-0.009764544665813446,-0.01887341216206551,0.01609672605991364,-0.04205181822180748,XArbitraryCorrectedZVertical,0.4193265712789899,0.06965253119329951,-0.006795063199670268,0.9051340114225506,0.1317884474992752,-0.7581468820571899,-0.6386275291442871,-19.97911262512207,-40.28173065185547,-111.5645141601562,1,400654.6741097917,walking,0,2016-07-07 14:24:37.416,2016-07-07 14:24:33.769,8,6.592648,0,0,2016-07-07 14:24:44.988,400664.200939375,0,-0.08630371,88.55523,0.0.0.0,22.65.149.222,1,1,0.67,0
2016-07-07 14:24:47.084,2,359D9C92-F92A-4B76-879A-D4D13BE6E09A,my_iOS_device_1,1467923085.999984,31.74870938996947,-106.4868711960562,1136.097,0.45,10.546875,3,5,-9999,1467923087.055685,-14.44101142883301,-41.48776245117188,-106.1554565429688,36.55066680908203,28.2614574432373,25,400664.264963375,0.1018524169921875,-0.72564697265625,-0.6790008544921875,400664.231703375,-0.06437286460495932,-0.6960112919378107,0.1365376059272725,400664.231703375,-0.1013396198923596,0.1619078124294167,0.8481912966555936,-0.0540989488363266,-0.7382968068122864,0.1474221646785736,-0.05907792598009109,0.01441346574574709,-0.05240179598331451,XArbitraryCorrectedZVertical,0.4133555244761621,0.05283386197613398,-0.01277691358278839,0.9089458421121769,0.1066090539097786,-0.7500854730606079,-0.6526916027069092,-22.00015258789062,-38.12683868408203,-111.9408798217773,1,400654.6741097917,walking,0,2016-07-07 14:24:37.416,2016-07-07 14:24:33.769,8,6.592648,0,0,2016-07-07 14:24:44.988,400664.200939375,0,-0.08630371,88.55523,0.0.0.0,22.65.149.222,1,1,0.67,0
2016-07-07 14:24:47.116,3,359D9C92-F92A-4B76-879A-D4D13BE6E09A,my_iOS_device_1,1467923086.999999,31.74870938996947,-106.4868711960562,1136.261,0,10.546875,3,5,-9999,1467923087.097239,-17.79595947265625,-40.97090148925781,-105.46484375,36.5626220703125,28.27341461181641,25,400664.3238393751,0.0046234130859375,-0.724853515625,-0.640869140625,400664.301593375,0.1057227015861836,-0.6940333621962089,0.2466710349108453,400664.301593375,-0.08051164205438527,0.1090549218290548,0.8436657470195656,0.1159801706671715,-0.7363118529319763,0.2575547993183136,0.012124327942729,-0.02647470869123936,0.01086218655109406,XArbitraryCorrectedZVertical,0.4104947070583161,0.03322951967694646,-0.01436628638014533,0.9111440634250892,0.07234832644462585,-0.7470848560333252,-0.6607797741889954,-27.77940559387207,-36.82793426513672,-111.0874938964844,1,400654.6741097917,walking,0,2016-07-07 14:24:37.416,2016-07-07 14:24:33.769,8,6.592648,0,0,2016-07-07 14:24:44.988,400664.200939375,0,-0.08630371,88.55523,0.0.0.0,22.65.149.222,1,1,0.67,0
2016-07-07 14:24:47.177,4,359D9C92-F92A-4B76-879A-D4D13BE6E09A,my_iOS_device_1,1467923086.999999,31.74870938996947,-106.4868711960562,1136.261,0,10.546875,3,5,-9999,1467923087.136309,-20.32081604003906,-41.2810173034668,-104.7085571289062,37.23640823364258,28.94720077514648,25,400664.382692375,0.012420654296875,-0.7545013427734375,-0.6143341064453125,400664.371511375,0.0734603691926367,-0.205993113472648,-0.03944114942796451,400664.336583375,-0.071978127891255,0.07263573258098895,0.8529859836751196,0.2907173037528992,-0.7573254108428955,0.08806949108839035,-0.04198063910007477,0.009870066307485104,0.02119116485118866,XArbitraryCorrectedZVertical,0.4143294540649508,0.01816097025491448,-0.01772560221601443,0.9097730957110747,0.04773320257663727,-0.7532477378845215,-0.6560025811195374,-31.67111015319824,-37.2913703918457,-109.8850250244141,1,400654.6741097917,walking,0,2016-07-07 14:24:37.416,2016-07-07 14:24:33.769,8,6.592648,0,0,2016-07-07 14:24:44.988,400664.200939375,0,-0.08630371,88.55523,0.0.0.0,22.65.149.222,1,1,0.67,0
2016-07-07 14:24:47.241,5,359D9C92-F92A-4B76-879A-D4D13BE6E09A,my_iOS_device_1,1467923086.999999,31.74870938996947,-106.4868711960562,1136.261,0,10.546875,3,5,-9999,1467923087.184208,-22.91484260559082,-41.79787826538086,-104.2152709960938,38.05803680419922,29.76883125305176,25,400664.441551375,0.0058441162109375,-0.7316436767578125,-0.628265380859375,400664.406491375,-0.1817644728234341,-0.1058177764370994,-0.06352065305613395,400664.406491375,-0.07036200734868342,0.04765511808739747,0.8592968585572556,-0.1714953631162643,-0.148117333650589,-0.05262833461165428,-0.03542383015155792,0.006681715603917837,0.01685288920998573,XArbitraryCorrectedZVertical,0.4169371429231807,0.006998965532133896,-0.02204948892741517,0.9086408825111095,0.03110559470951557,-0.7573836445808411,-0.6522288918495178,-34.91915512084961,-38.47000503540039,-108.4856414794922,1,400654.6741097917,walking,0,2016-07-07 14:24:37.416,2016-07-07 14:24:33.769,8,6.592648,0,0,2016-07-07 14:24:44.988,400664.200939375,0,-0.08630371,88.55523,0.0.0.0,22.65.149.222,1,1,0.67,0
2016-07-07 14:24:47.334,6,359D9C92-F92A-4B76-879A-D4D13BE6E09A,my_iOS_device_1,1467923086.999999,31.74870938996947,-106.4868711960562,1136.261,0,10.546875,3,5,-9999,1467923087.276946,-25.57804679870605,-41.83233642578125,-102.866943359375,37.12142181396484,28.83221626281738,25,400664.500405375,0.05108642578125,-0.7363128662109375,-0.6348724365234375,400664.476422375,-0.06811513856873866,-0.1330912091606009,-0.007241667636143465,400664.476422375,-0.07647448218970447,0.04777495453055542,0.8552910498828623,-0.05783770978450775,-0.1753981560468674,0.003653163090348244,0.01321201026439667,0.02301138825714588,0.01854687370359898,XArbitraryCorrectedZVertical,0.4151389848429087,0.005868605300575425,-0.02487671562140634,0.9093988848438893,0.03132839500904083,-0.7547618746757507,-0.6552503705024719,-35.36604690551758,-37.99959945678711,-108.5066604614258,1,400654.6741097917,walking,0,2016-07-07 14:24:37.416,2016-07-07 14:24:33.769,8,6.592648,0,0,2016-07-07 14:24:44.988,400664.200939375,0,-0.08630371,88.55523,0.0.0.0,22.65.149.222,1,1,0.67,0
2016-07-07 14:24:47.351,7,359D9C92-F92A-4B76-879A-D4D13BE6E09A,my_iOS_device_1,1467923086.999999,31.74870938996947,-106.4868711960562,1136.261,0,10.546875,3,5,-9999,1467923087.317016,-25.92391777038574,-42.03907775878906,-103.327392578125,37.46411895751953,29.17491149902344,25,400664.559265375,0.0174102783203125,-0.743072509765625,-0.631622314453125,400664.546320375,0.09978012392978081,-0.3651822360515894,0.01265640676449257,400664.511380375,-0.07553435993190717,0.03965945478305488,0.8548911360050181,0.04173934832215309,-0.2544664740562439,0.03194782137870789,0.01584841310977936,0.01942256838083267,0.02117154374718666,XArbitraryCorrectedZVertical,0.4148518235948529,0.00238205715671126,-0.0261402879818718,0.9095102943936064,0.02602170407772064,-0.7544994950294495,-0.6557846069335938,-35.36604690551758,-37.99959945678711,-108.5066604614258,1,400654.6741097917,walking,0,2016-07-07 14:24:37.416,2016-07-07 14:24:33.769,8,6.592648,0,0,2016-07-07 14:24:44.988,400664.200939375,0,-0.08630371,88.55523,0.0.0.0,22.65.149.222,1,1,0.67,0
2016-07-07 14:24:47.416,8,359D9C92-F92A-4B76-879A-D4D13BE6E09A,my_iOS_device_1,1467923086.999999,31.74870938996947,-106.4868711960562,1136.261,0,10.546875,3,5,-9999,1467923087.39777,-29.00217056274414,-43.31401062011719,-101.84765625,39.27872467041016,30.98951721191406,25,400664.618130375,-0.0018463134765625,-0.7262115478515625,-0.604217529296875,400664.581276375,0.3174804935544172,-0.2541353428141194,-0.04413150873981207,400664.581276375,-0.07435244498507446,0.01321480402328345,0.8661456208000523,0.3277565538883209,-0.2964338064193726,-0.03324079513549805,-0.02416961640119553,0.03997506573796272,0.03127138316631317,XArbitraryCorrectedZVertical,0.4195856950582547,-0.009604288185868991,-0.03096468451655497,0.9071365886478766,0.008559875190258026,-0.7618378400802612,-0.6477112174034119,-37.63314056396484,-38.10014343261719,-107.7058410644531,1,400654.6741097917,walking,0,2016-07-07 14:24:37.416,2016-07-07 14:24:33.769,8,6.592648,0,0,2016-07-07 14:24:44.988,400664.200939375,0,-0.08630371,88.55523,0.0.0.0,22.65.149.222,1,1,0.67,0
2016-07-07 14:24:47.493,9,359D9C92-F92A-4B76-879A-D4D13BE6E09A,my_iOS_device_1,1467923086.999999,31.74870938996947,-106.4868711960562,1136.261,0,10.546875,3,5,-9999,1467923087.440582,-30.1435432434082,-43.21063613891602,-101.5516967773438,39.52433013916016,31.2351245880127,25,400664.676991375,0.01055908203125,-0.74652099609375,-0.6518096923828125,400664.651224375,-0.20336989979892,-0.1046848677093797,-0.01565699036468485,400664.651224375,-0.07563835773792262,-0.002034003843578724,0.8726839794288668,-0.193093404173851,-0.1469844728708267,-0.004765527322888374,-0.0167895220220089,0.02788244374096394,0.01093551702797413,XArbitraryCorrectedZVertical,0.4222897596538148,-0.01690064253079606,-0.03469697890278679,0.9056389163615828,-0.001307401456870139,-0.7660568952560425,-0.6427714824676514,-40.76718521118164,-39.87300872802734,-105.9084625244141,1,400654.6741097917,walking,0,2016-07-07 14:24:37.416,2016-07-07 14:24:33.769,8,6.592648,0,0,2016-07-07 14:24:44.988,400664.200939375,0,-0.08630371,88.55523,0.0.0.0,22.65.149.222,1,1,0.67,0
2016-07-07 14:24:47.528,10,359D9C92-F92A-4B76-879A-D4D13BE6E09A,my_iOS_device_1,1467923086.999999,31.74870938996947,-106.4868711960562,1136.261,0,10.546875,3,5,-9999,1467923087.521347,-31.04280853271484,-42.03908157348633,-101.4201049804688,38.60662078857422,30.31741333007812,25,400664.735850375,-0.0456390380859375,-0.7458953857421875,-0.6789398193359375,400664.721141375,-0.1789463157579123,-0.01069632020219425,0.120289127484481,400664.721141375,-0.06388965008327303,-0.01447737725552361,0.85644175146115,-0.1686813235282898,-0.05300076678395271,0.1311853229999542,-0.02634340524673462,-0.002021606313064694,-0.01162574160844088,XArbitraryCorrectedZVertical,0.4148199262256727,-0.01984424148706907,-0.03205902191126869,0.9091220237129976,-0.009484231472015381,-0.7555162310600281,-0.6550612449645996,-41.35234832763672,-38.08528900146484,-106.3386917114258,1,400654.6741097917,walking,0,2016-07-07 14:24:37.416,2016-07-07 14:24:33.769,10,7.692947,0,0,2016-07-07 14:24:47.492,400664.200939375,0,-0.08630371,88.55523,0.0.0.0,22.65.149.222,1,1,0.67,0
