loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude,locationLongitude,locationAltitude(m),locationSpeed,locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_en0(txt),IP_pdp_ip0(txt),deviceOrientation(Z),batteryState(R),batteryLevel(Z),state(N)
2017-12-07 21:15:23.415 -0700,1,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512706522.32914,31.7603107402397,-106.452180929581,1142.262,13.45,7.3828125,64,30,-9999,1512706522.93357,-2.58310317993164,-10.4573059082031,-74.2760620117187,19.0134620666504,10.8754234313965,25,406109.905264875,0.244400024414062,-0.536972045898438,-0.755447387695313,406109.881401875,0.13301104801179,0.154044960617344,-0.120281138001211,406109.881401875,0.000450593159828,0.234577066022412,0.529311567307152,0.134655147790909,0.109672799706459,-0.105481706559658,-0.030290653929114,0.010676519013941,-0.032631155103445,XArbitraryCorrectedZVertical,0.259754449129105,0.113003998994827,0.030825650319457,0.958544492721558,0.200624525547028,-0.504939258098602,-0.839515447616577,10.3597221374512,-11.6134128570557,-74.10107421875,1,406108.423058875,cycling,2,2017-12-07 21:15:21.834 -0700,null,0,0,0,0,null,406108.016781,0,-0.05810547,89.83086,0.0.0.0,26.252.40.116,1,2,0.18,0
2017-12-07 21:15:23.421 -0700,2,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512706522.32914,31.7603107402397,-106.452180929581,1142.262,13.45,7.3828125,64,30,-9999,1512706522.93357,-2.58310317993164,-10.4573059082031,-74.2760620117187,19.0134620666504,10.8754234313965,25,406110.003346875,0.122711181640625,-0.496231079101563,-0.827926635742188,406109.981251875,-0.067719392830753,-0.63946918620212,-0.14081464263794,406109.981251875,-0.014650574615851,0.152901128562969,0.541574630628815,-0.066067449748516,-0.683843851089478,-0.126012295484543,-0.049257710576058,0.005628758110106,0.011405938304961,XArbitraryCorrectedZVertical,0.267240762710571,0.071637339890003,0.013391632586718,0.96086996793747,0.13051076233387,-0.515485942363739,-0.846900939941406,18.1423263549805,-6.93144607543945,-79.2227325439453,1,406108.423058875,cycling,2,2017-12-07 21:15:21.834 -0700,null,0,0,0,0,null,406108.016781,0,-0.05810547,89.83086,0.0.0.0,26.252.40.116,1,2,0.18,0
2017-12-07 21:15:23.516 -0700,3,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512706523.32437,31.7603892367629,-106.452112365613,1132.304,14.82,15.1171875,12,5,-9999,1512706523.44332,15.1683692932129,-9.28717041015625,-76.5892944335937,355.875518798828,347.737487792969,25,406110.101462875,0.093414306640625,-0.531753540039063,-0.918182373046875,406110.081145875,0.227182821001972,-0.627931839727679,0.17197549160463,406110.081145875,-0.016829260105742,0.099471244715634,0.548867136347217,0.228801891207695,-0.67229950428009,0.186769500374794,0.038387265056372,0.006401268299669,-0.033928759396076,XArbitraryCorrectedZVertical,0.271059721708298,0.045575495809317,0.005382773000747,0.961467921733856,0.084720648825169,-0.521721124649048,-0.848899006843567,13.5047941207886,-7.32319450378418,-80.1088104248047,1,406108.423058875,cycling,2,2017-12-07 21:15:21.834 -0700,null,0,0,0,0,null,406108.016781,0,-0.05810547,89.83086,0.0.0.0,26.252.40.116,1,2,0.18,0
2017-12-07 21:15:23.635 -0700,4,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512706523.32437,31.7603892367629,-106.452112365613,1132.304,14.82,15.1171875,12,5,-9999,1512706523.5634,4.75310134887695,-9.89884948730469,-74.631591796875,2.23130130767822,354.09326171875,25,406110.199562875,-0.055953979492188,-0.534164428710938,-0.864212036132813,406110.181016875,0.550882594650052,-1.03262846213721,0.160602728485555,406110.181016875,-0.003486946968665,0.003441035745803,0.570543484333164,0.552500486373901,-1.07699489593506,0.175396114587784,0.031039550900459,0.01509562600404,-0.103099554777145,XArbitraryCorrectedZVertical,0.281420260667801,0.001160335959867,-0.001188823953271,0.959583163261414,0.002895995974541,-0.540089547634125,-0.841602563858032,7.25300550460815,-8.65186882019043,-80.7834701538086,1,406108.423058875,cycling,2,2017-12-07 21:15:21.834 -0700,null,0,0,0,0,null,406108.016781,0,-0.05810547,89.83086,0.0.0.0,26.252.40.116,1,2,0.18,0
2017-12-07 21:15:23.714 -0700,5,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512706523.32437,31.7603892367629,-106.452112365613,1132.304,14.82,15.1171875,12,5,-9999,1512706523.68984,-6.65283203125,-14.8188018798828,-71.6064453125,7.91993045806885,359.781890869141,25,406110.297668875,-0.13812255859375,-0.575332641601563,-0.778152465820313,406110.280887875,0.384606001462082,-0.278670246988692,-0.244317599455542,406110.280887875,0.003410673812867,-0.059996143904061,0.626226633181764,0.386223167181015,-0.323036879301071,-0.229523956775665,-0.114289909601211,-0.061705071479082,0.041468288749457,XArbitraryCorrectedZVertical,0.307931691408157,-0.028010174632073,-0.007616976741701,0.950965583324432,-0.048582408577204,-0.586091578006744,-0.808786988258362,1.22688126564026,-13.607307434082,-80.4162063598633,1,406108.423058875,cycling,2,2017-12-07 21:15:21.834 -0700,null,0,0,0,0,null,406108.016781,0,-0.05810547,89.83086,0.0.0.0,26.252.40.116,1,2,0.18,0
2017-12-07 21:15:23.815 -0700,6,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512706523.32437,31.7603892367629,-106.452112365613,1132.304,14.82,15.1171875,12,5,-9999,1512706523.68984,-6.65283203125,-14.8188018798828,-71.6064453125,7.91993045806885,359.781890869141,25,406110.395761875,-0.007278442382813,-0.540252685546875,-0.82147216796875,406110.380739875,-0.077425017107438,0.086525837500566,-0.160444803032914,406110.380739875,-0.012644692659072,-0.048550358685441,0.627697977611901,-0.075815819203854,0.042129930108786,-0.145632654428482,0.043262876570225,0.020266510546208,-0.030851317569614,XArbitraryCorrectedZVertical,0.308478802442551,-0.025037923827767,-0.013505096547306,0.950805723667145,-0.039280328899622,-0.587283074855804,-0.80842787027359,-10.3477058410645,-19.1269092559814,-70.33544921875,1,406108.423058875,cycling,2,2017-12-07 21:15:21.834 -0700,null,0,0,0,0,null,406108.016781,0,-0.05810547,89.83086,0.0.0.0,26.252.40.116,1,2,0.18,0
2017-12-07 21:15:23.912 -0700,7,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512706523.32437,31.7603892367629,-106.452112365613,1132.304,14.82,15.1171875,12,5,-9999,1512706523.81104,-10.3477058410645,-18.9940948486328,-70.309814453125,14.9468421936035,6.80880260467529,25,406110.493844875,0.023223876953125,-0.546890258789063,-0.758346557617188,406110.480631875,0.753284169076619,0.340137602844375,-0.328604251111569,406110.480631875,-0.029684950866293,-0.033726703657726,0.668269788619275,0.754839539527893,0.295742332935333,-0.313797444105148,0.008812478743494,0.00282284989953,0.01734346523881,XArbitraryCorrectedZVertical,0.32763284444809,-0.02079495228827,-0.019548593088985,0.944373965263367,-0.026466900482774,-0.61962890625,-0.784448564052582,-9.95557403564453,-21.5077819824219,-69.7014465332031,1,406108.423058875,cycling,2,2017-12-07 21:15:21.834 -0700,null,0,0,0,0,null,406108.016781,0,-0.05810547,89.83086,0.0.0.0,26.252.40.116,1,2,0.18,0
2017-12-07 21:15:24.008 -0700,8,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512706523.32437,31.7603892367629,-106.452112365613,1132.304,14.82,15.1171875,12,5,-9999,1512706523.92583,-9.22317886352539,-22.5045318603516,-70.9708862304688,20.0204124450684,11.8823719024658,25,406110.591956875,0.175628662109375,-0.53814697265625,-0.604385375976563,406110.580495875,-0.523767087379192,-0.337648346173478,-0.248077716598625,406110.580495875,-0.114126317859291,0.049414739669459,0.678733363337147,-0.522113859653473,-0.382060766220093,-0.233353465795517,0.201100498437881,0.110412620007992,0.176161080598831,XArbitraryCorrectedZVertical,0.333575308322906,0.004278262611479,-0.045552376657724,0.941612541675568,0.038447227329016,-0.6278076171875,-0.777418434619904,-5.96707534790039,-23.5150299072266,-69.5084686279297,1,406108.423058875,cycling,2,2017-12-07 21:15:21.834 -0700,null,0,0,0,0,null,406108.016781,0,-0.05810547,89.83086,0.0.0.0,26.252.40.116,1,2,0.18,0
2017-12-07 21:15:24.101 -0700,9,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512706523.32437,31.7603892367629,-106.452112365613,1132.304,14.82,15.1171875,12,5,-9999,1512706524.04603,-5.71571922302246,-26.2808837890625,-71.98779296875,24.946475982666,16.8084354400635,25,406110.690058875,0.008163452148438,-0.324905395507812,-0.8739013671875,406110.680361875,-2.14390939232827,0.078370971926634,0.537969991788693,406110.680361875,-0.056611113061127,-0.062650151734393,0.55132509204307,-2.14225625991821,0.033959455788136,0.552693963050842,0.103472828865051,0.180890396237373,0.152039870619774,XArbitraryCorrectedZVertical,0.27108907699585,-0.037824925035238,-0.035741277039051,0.961146473884582,-0.053332448005676,-0.523816466331482,-0.850160002708435,-12.487829208374,-14.7277698516846,-71.0432052612305,1,406108.423058875,cycling,2,2017-12-07 21:15:21.834 -0700,null,0,0,0,0,null,406109.02618,0,-0.06079102,89.8309,0.0.0.0,26.252.40.116,1,2,0.18,0
2017-12-07 21:15:24.197 -0700,10,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512706523.32437,31.7603892367629,-106.452112365613,1132.304,14.82,15.1171875,12,5,-9999,1512706524.16626,-7.34896850585938,-2.69187927246094,-69.2168579101562,18.7385387420654,10.6004991531372,25,406110.788135875,-0.059616088867188,-0.411590576171875,-0.966064453125,406110.780220875,-0.004451740078176,-0.132404646231578,0.800024244104164,406110.780220875,0.021131560178981,-0.021122093247286,0.448245711422627,-0.002798604080454,-0.176815360784531,0.814747869968414,0.021475406363607,0.011372891254723,-0.177681833505631,XArbitraryCorrectedZVertical,0.222335234284401,-0.007948059588671,0.007953726686537,0.974905431270599,-0.019034000113607,-0.433385223150253,-0.901007771492004,-7.35659313201904,-6.09983825683594,-72.9976806640625,1,406108.423058875,cycling,2,2017-12-07 21:15:21.834 -0700,null,0,0,0,0,null,406109.02618,0,-0.06079102,89.8309,0.0.0.0,26.252.40.116,1,2,0.18,0
