loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude,locationLongitude,locationAltitude,locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_en0(txt),IP_pdp_ip0(txt),deviceOrientation(Z),batteryState(R),batteryLevel(Z),avAudioRecorderPeakPower(dB),avAudioRecorderAveragePower(dB),state(N)
2017-12-03 20:29:45.849 -0700,1,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512358184.99802,31.7476543598173,-106.486953171069,1152.643,0,347.34375,3,5,-9999,1512358185.76548,30.6923027038574,7.56610488891602,-45.2932739257813,330.495025634766,322.343322753906,15,279688.1865225,0.064865112304688,-0.59710693359375,-0.835739135742188,279688.0385245,-0.063093482017285,0.430644866174609,-0.003682619155362,279688.0435175,-0.000446355395298,0.03554990341002,0.613834619845789,-0.119110159575939,0.339084178209305,-0.00442833872512,-0.051179226487875,0.014788063243032,-0.016079064458609,XArbitraryCorrectedZVertical,0.302077502012253,0.016876010224223,0.005157196894288,0.953119993209839,0.02905397862196,-0.576006293296814,-0.816928744316101,39.9527397155762,40.4731636047363,-104.149719238281,1,279685.5170335,automotive,2,2017-12-03 20:29:43.166 -0700,null,0,0,0,0,null,279685.16087,0,-0.420166,88.30159,0.0.0.0,100.170.178.76,1,2,0.53,-36.55994,-42.43713,2
2017-12-03 20:29:46.103 -0700,2,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512358184.99802,31.7476543598173,-106.486953171069,1152.643,0,347.34375,3,5,-9999,1512358186.03555,25.7975044250488,4.89376449584961,-48.0056762695313,328.051849365234,319.900146484375,15,279688.4316255,-0.10736083984375,-0.579513549804688,-0.780807495117188,279688.2882655,0.284797648024747,-0.707644245895386,0.07403135093035,279688.3032495,0.005691342322416,-0.008591198940398,0.627454023721372,0.322759628295898,-0.798712909221649,0.061193589121103,-0.019977059215307,0.033923983573914,-0.01863001845777,XArbitraryCorrectedZVertical,0.308613389730453,-0.003207720583305,0.001381107605994,0.951181173324585,-0.006954703480005,-0.587085604667664,-0.809494972229004,36.8955497741699,39.2801895141602,-105.722496032715,1,279685.5170335,automotive,2,2017-12-03 20:29:43.166 -0700,null,0,0,0,0,null,279685.16087,0,-0.420166,88.30159,0.0.0.0,100.170.178.76,1,2,0.53,-36.55994,-41.88198,2
2017-12-03 20:29:46.356 -0700,3,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512358185.99798,31.7476543598173,-106.486953171069,1153.145,0,347.34375,3,5,-9999,1512358186.31561,16.8081169128418,2.89946365356445,-50.9327392578125,333.6083984375,325.456695556641,15,279688.6768805,-0.100067138671875,-0.585800170898438,-0.786895751953125,279688.5380225,0.07188111466622,-0.149782571292673,-0.067061325725394,279688.5629975,0.002397068830919,-0.114149449651336,0.65875761209644,-0.011582043021917,-0.174455493688583,-0.034752946346998,-0.010258375667036,0.01063346862793,0.02478864043951,XArbitraryCorrectedZVertical,0.322993069887161,-0.053590189665556,-0.017318829894066,0.944724082946777,-0.090068161487579,-0.612134873867035,-0.785607159137726,24.3899364471436,35.7202835083008,-110.501831054688,1,279685.5170335,automotive,2,2017-12-03 20:29:43.166 -0700,null,0,0,0,0,null,279685.16087,0,-0.420166,88.30159,0.0.0.0,100.170.178.76,1,2,0.53,-35.92569,-45.59104,2
2017-12-03 20:29:46.600 -0700,4,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512358185.99798,31.7476543598173,-106.486953171069,1153.145,0,347.34375,3,5,-9999,1512358186.57751,16.6614036560059,3.31161880493164,-51.4246215820313,335.269287109375,327.117584228516,15,279688.921946,-0.0885009765625,-0.616546630859375,-0.767959594726563,279688.787752,0.018455706354249,0.029581594440273,-0.018997925952189,279688.822713,-0.006220120117365,-0.113658581540455,0.647303554859981,0.050972599536181,-0.045616090297699,0.004458119627088,-0.00431578559801,0.022013431414962,0.021127173677087,XArbitraryCorrectedZVertical,0.317348420619965,-0.054836973547936,-0.021007474511862,0.946489095687866,-0.09047181904316,-0.603037595748901,-0.792565762996674,23.5699081420898,37.1987457275391,-110.191528320313,1,279685.5170335,automotive,2,2017-12-03 20:29:43.166 -0700,null,0,0,0,0,null,279686.16919,0,-0.420166,88.30159,0.0.0.0,100.170.178.76,1,2,0.53,-35.92569,-43.94196,2
2017-12-03 20:29:46.824 -0700,5,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512358185.99798,31.7476543598173,-106.486953171069,1153.145,0,347.34375,3,5,-9999,1512358186.57751,16.6614036560059,3.31161880493164,-51.4246215820313,335.269287109375,327.117584228516,15,279689.167067,-0.123184204101563,-0.586517333984375,-0.776458740234375,279689.037488,-0.00945981450807,0.010671286487948,-0.011783688875274,279689.082437,0.007374785660653,-0.128371403548053,0.662026433434439,-0.010438237339258,0.017295960336924,-0.001181759638712,-0.001274302834645,0.015778491273522,0.016343180090189,XArbitraryCorrectedZVertical,0.32455363869667,-0.059463266283274,-0.017365952953696,0.943836569786072,-0.100974842905998,-0.614716470241547,-0.782258093357086,23.0930519104004,35.1524810791016,-110.96159362793,1,279685.5170335,automotive,2,2017-12-03 20:29:43.166 -0700,null,0,0,0,0,null,279686.16919,0,-0.420166,88.30159,0.0.0.0,100.170.178.76,1,2,0.53,-33.98284,-45.04582,2
2017-12-03 20:29:47.080 -0700,6,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512358185.99798,31.7476543598173,-106.486953171069,1153.145,0,347.34375,3,5,-9999,1512358186.84891,16.1946144104004,1.30404663085938,-52.0425415039063,334.845550537109,326.69384765625,15,279689.412173,-0.084548950195313,-0.62945556640625,-0.775863647460938,279689.287229,-0.006368949746925,0.015917713835404,0.013864682951062,279689.342173,0.009665085002604,-0.129591073397155,0.667195731982192,-0.018064392730594,0.002483751624823,0.010477747768164,-0.019332749769092,0.028834901750088,0.007549623958766,XArbitraryCorrectedZVertical,0.327049344778061,-0.05960077047348,-0.016645332798362,0.942979037761688,-0.101516865193844,-0.618785500526428,-0.778972923755646,23.2102279663086,34.5161666870117,-111.136764526367,1,279685.5170335,automotive,2,2017-12-03 20:29:43.166 -0700,null,0,0,0,0,null,279686.16919,0,-0.420166,88.30159,0.0.0.0,100.170.178.76,1,2,0.53,-33.98284,-40.89738,2
2017-12-03 20:29:47.311 -0700,7,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512358186.99795,31.7476543598173,-106.486953171069,1153.259,0,347.34375,3,5,-9999,1512358187.12145,16.5280647277832,0.360088348388672,-52.02978515625,334.685791015625,326.534088134766,15,279689.657296,-0.106521606445313,-0.610122680664063,-0.7591552734375,279689.53697,0.007239004475053,0.09642480727239,-0.027455060309845,279689.601901,0.011291630715446,-0.127401875690221,0.67004383679471,-0.035148229449988,0.002587217604741,0.012485763058066,-0.02059124968946,0.022875808179379,0.002753349719569,XArbitraryCorrectedZVertical,0.328457206487656,-0.058265216648579,-0.01560864597559,0.942590773105621,-0.099586963653565,-0.621020317077637,-0.777442038059235,23.5976810455322,34.1577606201172,-111.165893554688,1,279685.5170335,automotive,2,2017-12-03 20:29:43.166 -0700,null,0,0,0,0,null,279686.16919,0,-0.420166,88.30159,0.0.0.0,100.170.178.76,1,2,0.53,-33.98284,-43.15065,2
2017-12-03 20:29:47.559 -0700,8,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512358186.99795,31.7476543598173,-106.486953171069,1153.259,0,347.34375,3,5,-9999,1512358187.39157,16.5680885314941,-0.052066802978516,-51.7142333984375,334.671356201172,326.519653320313,15,279689.9024,-0.107223510742188,-0.600372314453125,-0.768203735351563,279689.786691,0.027089141976068,0.034840006012635,-0.029591980768525,279689.861628,0.010675361310625,-0.121141750791711,0.672093608660976,-0.004358291625977,-0.012448317371309,0.020149625837803,0.009221726097167,0.004324265755713,0.00127229152713,XArbitraryCorrectedZVertical,0.329453229904175,-0.055390205234289,-0.014931356534362,0.942427456378937,-0.094564132392407,-0.622625648975372,-0.776785016059876,24.1672840118408,34.0034370422363,-111.0908203125,1,279685.5170335,automotive,2,2017-12-03 20:29:43.166 -0700,null,0,0,0,0,null,279687.178651,0,-0.3568115,88.3009,0.0.0.0,100.170.178.76,1,2,0.53,-33.98284,-44.2578,2
2017-12-03 20:29:47.797 -0700,9,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512358186.99795,31.7476543598173,-106.486953171069,1153.259,0,347.34375,3,5,-9999,1512358187.66476,17.5683937072754,0.493034362792969,-51.6512451171875,334.493041992187,326.341339111328,15,279690.147488,-0.068450927734375,-0.630447387695313,-0.758651733398438,279690.036428,-0.019003784906588,0.037195039364592,0.010620686427236,279690.121338,0.008506994804368,-0.110341939956984,0.670105761440832,-0.026213640347123,0.051296077668667,0.002000701613724,-0.020582044497132,0.03293414786458,0.005277390126139,XArbitraryCorrectedZVertical,0.328537344932556,-0.050679676234722,-0.014121055603027,0.943024575710297,-0.086305774748325,-0.621068894863129,-0.778989553451538,25.1697196960449,34.2448120117187,-110.793670654297,1,279689.913567,automotive,0,2017-12-03 20:29:47.563 -0700,null,0,0,0,0,null,279687.178651,0,-0.3568115,88.3009,0.0.0.0,100.170.178.76,1,2,0.53,-36.21195,-42.91467,2
2017-12-03 20:29:48.048 -0700,10,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512358186.99795,31.7476543598173,-106.486953171069,1153.259,0,347.34375,3,5,-9999,1512358187.93556,18.9954719543457,1.5699348449707,-51.4619140625,334.074310302734,325.922607421875,15,279690.39261,-0.049850463867188,-0.574234008789063,-0.823394775390625,279690.286165,-0.01405563160122,0.238584612576929,-0.046474291550755,279690.381087,-0.005562499686072,-0.065186095064918,0.652065471258945,-0.08736976236105,0.12271822988987,-0.034554433077574,0.008348803967237,0.016649965196848,-0.020317316055298,XArbitraryCorrectedZVertical,0.320030093193054,-0.031760800629854,-0.013070583343506,0.946784615516663,-0.051775313913822,-0.606829404830933,-0.79314398765564,28.7450199127197,36.5114555358887,-109.188362121582,1,279689.913567,automotive,0,2017-12-03 20:29:47.563 -0700,null,0,0,0,0,null,279687.178651,0,-0.3568115,88.3009,0.0.0.0,100.170.178.76,1,2,0.53,-35.40678,-39.7733,2
