loggingTime,loggingSample,identifierForVendor,deviceID,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,IP_en0,IP_pdp_ip0,deviceOrientation,batteryState,batteryLevel,state
2017-05-14 21:42:06.481,1,0211D7EC-4A0C-4BE7-80DD-93957CA4B509,my_iOS_device_1,1494819725.999984,31.74783645666367,-106.48688125434,1132.017,0,10.8984375,3,5,1494819726.45115,21.93183898925781,36.37541198730469,-107.6490478515625,358.8759765625,350.6703491210938,25,19166.45721616667,0.08447265625,-0.6319580078125,-0.7303314208984375,19166.44374016667,-0.05695729254963368,0.07668119621497853,-0.0205151288252074,19166.41876616667,0.1662984867293038,0.07995670735591659,0.7058402206453528,-0.07545267045497894,0.09341614693403244,-0.02885022759437561,-0.0003169953997712582,-0.02230120822787285,-0.03140375390648842,XArbitraryCorrectedZVertical,0.3410551704485798,0.06605843092141638,0.09163907824857502,0.9332309112712887,0.06078757718205452,-0.6486735343933105,-0.7586352825164795,25.11621856689453,23.91033935546875,-92.21073150634766,1,19164.74206016667,unknown,2,2017-05-14 21:42:04.734,null,0,0,0,0,null,19163.206654,0,0.4255371,87.9679,0.0.0.0,100.169.53.127,1,1,0.87,0
2017-05-14 21:42:06.530,2,0211D7EC-4A0C-4BE7-80DD-93957CA4B509,my_iOS_device_1,1494819725.999984,31.74783645666367,-106.48688125434,1132.017,0,10.8984375,3,5,1494819726.511036,22.22636413574219,36.48179626464844,-107.6744384765625,358.6553344726562,350.44970703125,25,19166.51604416667,0.0319976806640625,-0.6279449462890625,-0.768951416015625,19166.51365216667,0.04337330677746651,-0.2354788341136783,-0.03867229482125863,19166.49867716667,0.1637585486788282,0.07342357032385942,0.7048507634138544,0.0983915776014328,-0.3517160713672638,-0.006232472136616707,0.01252804882824421,0.007401973474770784,0.02024558372795582,XArbitraryCorrectedZVertical,0.3409695153782613,0.06254436732160626,0.0893359795935201,0.933727516167922,0.05587710067629814,-0.6479201912879944,-0.7596560120582581,24.76350784301758,24.13955688476562,-92.24639892578125,1,19164.74206016667,unknown,2,2017-05-14 21:42:04.734,null,0,0,0,0,null,19163.206654,0,0.4255371,87.9679,0.0.0.0,100.169.53.127,1,1,0.87,0
2017-05-14 21:42:06.602,3,0211D7EC-4A0C-4BE7-80DD-93957CA4B509,my_iOS_device_1,1494819725.999984,31.74783645666367,-106.48688125434,1132.017,0,10.8984375,3,5,1494819726.563162,21.14199829101562,36.65464782714844,-107.788818359375,358.6795959472656,350.4739685058594,25,19166.57489816667,0.029144287109375,-0.631378173828125,-0.7461090087890625,19166.54862616667,0.06322903691677029,-0.1455225788129818,-0.04150350137612187,19166.53862716667,0.1626168164623901,0.0619261806115687,0.7090951931769252,0.1146208569407463,-0.1970259845256805,-0.03454357758164406,-0.01845024898648262,0.01662584953010082,0.03502343595027924,XArbitraryCorrectedZVertical,0.3434953472250605,0.05711966273521725,0.08684293582211987,0.9333844840479957,0.04696892574429512,-0.6511473059654236,-0.7574965953826904,23.78540802001953,23.97011184692383,-92.54747772216797,1,19164.74206016667,unknown,2,2017-05-14 21:42:04.734,null,0,0,0,0,null,19163.206654,0,0.4255371,87.9679,0.0.0.0,100.169.53.127,1,1,0.87,0
2017-05-14 21:42:06.647,4,0211D7EC-4A0C-4BE7-80DD-93957CA4B509,my_iOS_device_1,1494819725.999984,31.74783645666367,-106.48688125434,1132.017,0,10.8984375,3,5,1494819726.623522,19.495361328125,36.08290100097656,-108.3099975585938,359.348876953125,351.1432495117188,25,19166.63374116667,0.0463409423828125,-0.6627044677734375,-0.724151611328125,19166.61854216667,-0.02845827309247773,-0.06957614874275612,-0.1465881095651225,19166.61854216667,0.1538150508627659,0.05707731772889415,0.7124966338678198,-0.02078341320157051,-0.1144537404179573,-0.1367369741201401,0.02625869773328304,0.007164420560002327,0.01129814982414246,XArbitraryCorrectedZVertical,0.3455333463495784,0.05344905612254298,0.08190068061488708,0.9332964070834558,0.04316879063844681,-0.6537250876426697,-0.7554997801780701,22.23009300231934,23.44645690917969,-93.06682586669922,1,19164.74206016667,unknown,2,2017-05-14 21:42:04.734,null,0,0,0,0,null,19163.206654,0,0.4255371,87.9679,0.0.0.0,100.169.53.127,1,1,0.87,0
2017-05-14 21:42:06.706,5,0211D7EC-4A0C-4BE7-80DD-93957CA4B509,my_iOS_device_1,1494819725.999984,31.74783645666367,-106.48688125434,1132.017,0,10.8984375,3,5,1494819726.683917,18.43777465820312,35.98982238769531,-108.6024169921875,359.8876342773438,351.6820068359375,25,19166.69258216667,0.032623291015625,-0.6556243896484375,-0.745635986328125,19166.68847016667,-0.1206132341891437,-0.05004665583698706,-0.05331994713280346,19166.65850416667,0.1480172871765451,0.05545139597657439,0.7095907145805602,-0.05388051271438599,-0.2012470066547394,-0.05396191775798798,-0.004005298484116793,-0.00538279814645648,-0.03297322988510132,XArbitraryCorrectedZVertical,0.3443922201613867,0.05160153767145232,0.07891349233649705,0.9340791940352317,0.04204545915126801,-0.6515233516693115,-0.7574625611305237,21.76886367797852,23.66606521606445,-93.12025451660156,1,19164.74206016667,unknown,2,2017-05-14 21:42:04.734,null,0,0,0,0,null,19163.206654,0,0.4255371,87.9679,0.0.0.0,100.169.53.127,1,1,0.87,0
2017-05-14 21:42:06.765,6,0211D7EC-4A0C-4BE7-80DD-93957CA4B509,my_iOS_device_1,1494819725.999984,31.74783645666367,-106.48688125434,1132.017,0,10.8984375,3,5,1494819726.746763,17.66131591796875,36.41529846191406,-108.2719116210938,0.2143325805664062,352.0086975097656,25,19166.75140116667,0.0484466552734375,-0.645111083984375,-0.7742462158203125,19166.72343016667,-0.08097580978884031,-0.03227058819292616,-0.05938183440604181,19166.73840616667,0.14357051315393,0.05175310679359137,0.7033963102628344,-0.05823101103305817,-0.07720897346735001,-0.07289756089448929,0.007713036146014929,-0.0002983772428706288,0.01397856418043375,XArbitraryCorrectedZVertical,0.3417480952848609,0.04892733490433408,0.07620113614293007,0.9354184850209302,0.03945188224315643,-0.6468116044998169,-0.7616286873817444,20.88542366027832,24.41379547119141,-93.12954711914062,1,19164.74206016667,unknown,2,2017-05-14 21:42:04.734,null,0,0,0,0,null,19163.206654,0,0.4255371,87.9679,0.0.0.0,100.169.53.127,1,1,0.87,0
2017-05-14 21:42:06.842,7,0211D7EC-4A0C-4BE7-80DD-93957CA4B509,my_iOS_device_1,1494819725.999984,31.74783645666367,-106.48688125434,1132.017,0,10.8984375,3,5,1494819726.806628,16.7911376953125,37.12001037597656,-108.2337646484375,0.5750808715820312,352.3694458007812,25,19166.81023316667,0.022979736328125,-0.6123809814453125,-0.74749755859375,19166.79335716667,-0.0219337947378926,-0.1089757528577154,-0.03031369742393594,19166.77837216667,0.140851312736881,0.04967448238231569,0.7007757463319975,-0.09355977177619934,-0.06220272555947304,-0.03364025801420212,-0.01155498530715704,0.0135852312669158,0.05894685909152031,XArbitraryCorrectedZVertical,0.3406642586127362,0.04741493503725043,0.07457519468512137,0.9360225569808247,0.03795269131660461,-0.6448107957839966,-0.7633993625640869,20.40081787109375,24.67802429199219,-93.16732025146484,1,19164.74206016667,unknown,2,2017-05-14 21:42:04.734,null,0,0,0,0,null,19163.206654,0,0.4255371,87.9679,0.0.0.0,100.169.53.127,1,1,0.87,0
2017-05-14 21:42:06.884,8,0211D7EC-4A0C-4BE7-80DD-93957CA4B509,my_iOS_device_1,1494819725.999984,31.74783645666367,-106.48688125434,1132.017,0,10.8984375,3,5,1494819726.864536,16.60374450683594,37.14662170410156,-108.4879150390625,0.5984878540039062,352.3928527832031,25,19166.86907116667,0.0241241455078125,-0.6389007568359375,-0.7243804931640625,19166.86328116667,-0.04616643012874161,-0.07066644689303457,-0.03680435363267705,19166.85826316667,0.137269659326218,0.04603922732575267,0.6981585827757784,-0.03849897161126137,-0.1208303719758987,-0.03337128832936287,0.002281779889017344,0.001832250040024519,-0.01183836534619331,XArbitraryCorrectedZVertical,0.3396537103739457,0.04502913957369537,0.07228185959085666,0.936687283138054,0.03525483980774879,-0.642808198928833,-0.7652154564857483,19.84907531738281,24.89483642578125,-93.22879791259766,1,19164.74206016667,unknown,2,2017-05-14 21:42:04.734,null,0,0,0,0,null,19164.215565,0,0.4255371,87.9679,0.0.0.0,100.169.53.127,1,1,0.87,0
2017-05-14 21:42:06.944,9,0211D7EC-4A0C-4BE7-80DD-93957CA4B509,my_iOS_device_1,1494819725.999984,31.74783645666367,-106.48688125434,1132.017,0,10.8984375,3,5,1494819726.926812,16.22891235351562,37.30616760253906,-108.4116821289062,0.6502456665039062,352.4446105957031,25,19166.92786416667,0.0374755859375,-0.6376190185546875,-0.7333221435546875,19166.93320216667,0.03655268490966457,0.03686613896996689,-0.002836532877043397,19166.89824016667,0.137496576722159,0.04271193385257131,0.6987532419504576,0.01543842628598213,-0.01629285328090191,-0.006026731804013252,-0.007042202167212963,0.008955752477049828,0.05837300792336464,XArbitraryCorrectedZVertical,0.3400473650909135,0.04352633132560492,0.07182194396011485,0.9366508721726833,0.03269222751259804,-0.6432636380195618,-0.7649465203285217,19.43818855285645,25.11720275878906,-93.25572967529297,1,19164.74206016667,unknown,2,2017-05-14 21:42:04.734,null,0,0,0,0,null,19164.215565,0,0.4255371,87.9679,0.0.0.0,100.169.53.127,1,1,0.87,0
2017-05-14 21:42:07.004,10,0211D7EC-4A0C-4BE7-80DD-93957CA4B509,my_iOS_device_1,1494819725.999984,31.74783645666367,-106.48688125434,1132.017,0,10.8984375,3,5,1494819726.986202,15.8272705078125,37.385986328125,-108.3606567382812,0.6839675903320312,352.4783325195312,25,19166.98673116667,0.0309906005859375,-0.6410980224609375,-0.7906646728515625,19166.96814316667,0.004456800084247605,0.01905944497337008,-0.00952426300645038,19166.97812916667,0.1377566863688492,0.04011156806241513,0.7000069267263062,-0.02263262309134007,0.02528101392090321,-0.01367810927331448,-0.002655477728694677,0.0037047965452075,0.0134595800191164,XArbitraryCorrectedZVertical,0.3407226410941677,0.04238893989839311,0.07149858671638512,0.9364823606014495,0.03067061491310596,-0.6442229747772217,-0.7642225027084351,19.18684577941895,24.85610198974609,-93.37765502929688,1,19164.74206016667,unknown,2,2017-05-14 21:42:04.734,null,0,0,0,0,null,19164.215565,0,0.4255371,87.9679,0.0.0.0,100.169.53.127,1,1,0.87,0
