loggingTime,loggingSample,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,IP_en0,IP_pdp_ip0,deviceOrientation,state
17:38.7,11,1432693058,31.7660026,-106.4510884,1133.354,0.19,0,3,5,-9999,1432693059,-15.15699482,204.4607697,-761.7161865,15.53134155,7.145996094,-1,86163.51913,0.112823486,-0.741424561,-0.642227173,86163.48022,0.051665591,-0.036827257,-0.033532927,86163.48022,0.210362376,0.173221029,0.840935597,0.054270431,-0.039360005,-0.026215833,0.017799811,0.016995786,0.010837189,XArbitraryZVertical,0.396119535,0.121225247,0.130597523,0.900743049,0.114921138,-0.745267272,-0.656787515,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,0.00390625,88.53694,0.0.0.0,33.234.95.54,1,0,
17:38.8,12,1432693058,31.7660026,-106.4510884,1133.354,0.19,0,3,5,-9999,1432693059,-15.64593506,204.1138763,-761.7836914,15.52620125,7.140855312,-1,86163.57865,0.112884521,-0.732528687,-0.651885986,86163.55031,0.005331116,-0.040214798,0.007359113,86163.55031,0.209576856,0.171932369,0.841490673,0.007931651,-0.042749278,0.01467725,-0.006749845,0.010728204,-0.000210908,XArbitraryZVertical,0.396503001,0.120505949,0.129998271,0.900757535,0.114003874,-0.745637238,-0.6565274,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,0.00390625,88.53694,0.0.0.0,33.234.95.54,1,0,
17:38.9,13,1432693058,31.7660026,-106.4510884,1133.354,0.19,0,3,5,-9999,1432693059,-15.9951725,204.7382965,-761.9187012,15.52238178,7.137036324,-1,86163.6382,0.101242065,-0.734634399,-0.644500732,86163.62041,-0.00278034,-0.032714803,-0.02353036,86163.58537,0.209362407,0.170523755,0.84226204,0.010233579,-0.073399112,0.00821739,-9.68E-05,0.013622355,0.00423431,XArbitraryZVertical,0.396957531,0.119852285,0.129635791,0.900696791,0.112981327,-0.74615103,-0.6561203,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,0.00390625,88.53694,0.0.0.0,33.234.95.54,1,0,
17:38.9,14,1432693058,31.7660026,-106.4510884,1133.354,0.19,0,3,5,-9999,1432693059,-16.44918442,205.1199036,-761.4799194,15.50692272,7.121577263,-1,86163.69771,0.11706543,-0.730300903,-0.636062622,86163.6905,0.004067446,-0.058262508,0.025347435,86163.65545,0.209545565,0.16715509,0.842190163,0.031586763,-0.02783313,-0.005185729,-0.005158028,0.003763098,0.02385962,XArbitraryZVertical,0.397131846,0.118369216,0.12904831,0.900900416,0.110779367,-0.746103168,-0.65655005,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,0.00390625,88.53694,0.0.0.0,33.234.95.54,1,0,
17:39.0,15,1432693058,31.7660026,-106.4510884,1133.354,0.19,0,3,5,-9999,1432693059,-16.51903343,204.6342316,-761.0074463,15.49827003,7.112924099,-1,86163.75725,0.111480713,-0.728103638,-0.66242981,86163.72554,-0.052164668,-0.066768644,0.0129656,86163.72554,0.21070722,0.162300679,0.842881404,-0.049564417,-0.069301605,0.020281812,-0.006173927,0.016842186,0.001968914,XArbitraryZVertical,0.397690181,0.116434692,0.128618034,0.900967748,0.107507549,-0.746563256,-0.656570971,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,0.00390625,88.53694,0.0.0.0,33.234.95.54,1,0,
17:39.0,16,1432693059,31.7660026,-106.4510884,1133.9,0,0,3,5,-9999,1432693059,-17.56675148,204.4260864,-760.8723755,15.47996616,7.094620705,-1,86163.81679,0.089584351,-0.739196777,-0.659164429,86163.79563,0.040645964,-0.007299192,-0.012301674,86163.79563,0.210657832,0.15852339,0.841374138,0.043240871,-0.009832185,-0.004986565,0.005544049,0.006576448,0.0144518,XArbitraryZVertical,0.397250807,0.11467522,0.127822581,0.901500293,0.105204239,-0.745559573,-0.658082783,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,0.00390625,88.53694,0.0.0.0,33.234.95.54,1,0,
17:39.1,17,1432693059,31.7660026,-106.4510884,1133.9,0,0,3,5,-9999,1432693059,-17.28736305,204.0098114,-761.4123535,15.47172737,7.086381912,-1,86163.87632,0.111694336,-0.735870361,-0.625915527,86163.83066,0.017987523,0.017994979,0.004526575,86163.83066,0.211400457,0.157383952,0.842326469,0.020580929,0.015461547,0.011841815,-0.0040012,0.004738857,0.010329664,XArbitraryZVertical,0.397713601,0.114339624,0.127944503,0.901321556,0.104342997,-0.746193945,-0.657500684,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,0.00390625,88.53694,0.0.0.0,33.234.95.54,1,0,
17:39.2,18,1432693059,31.7660026,-106.4510884,1133.9,0,0,3,5,-9999,1432693059,-17.46198082,204.1832581,-761.1085205,15.4589386,7.073593616,-1,86163.93586,0.115142822,-0.728591919,-0.652053833,86163.90077,0.017286312,-0.054954329,-0.007431817,86163.90077,0.210751832,0.156233677,0.84335926,0.019882372,-0.057485439,-0.000118693,-0.009045266,0.017770378,0.009489262,XArbitraryZVertical,0.39829292,0.113725227,0.127437822,0.901215249,0.103466652,-0.746881068,-0.656858623,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,0.00390625,88.53694,0.0.0.0,33.234.95.54,1,0,
17:39.2,19,1432693059,31.7660026,-106.4510884,1133.9,0,0,3,5,-9999,1432693059,-17.81121826,204.4607697,-761.0410156,15.45318222,7.067836761,-1,86163.9954,0.083145142,-0.74130249,-0.660675049,86163.97084,-0.046552322,0.003177684,-0.021791582,86163.97084,0.209845715,0.154384584,0.84307034,-0.043957338,0.000645819,-0.014477925,0.002649631,0.010162455,0.013692091,XArbitraryZVertical,0.398330505,0.112702218,0.126657228,0.901437167,0.102285065,-0.746688962,-0.657262027,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,0.00390625,88.53694,0.0.0.0,33.234.95.54,1,0,
17:39.3,20,1432693059,31.7660026,-106.4510884,1133.9,0,0,3,5,-9999,1432693059,-17.77629471,204.5648499,-760.3997192,15.4407959,7.055450439,-1,86164.05494,0.106262207,-0.728820801,-0.644454956,86164.04094,-0.004310593,-0.06035735,0.015676431,86164.0059,0.210909138,0.151732703,0.84108403,-0.052773267,-0.050254703,0.017121922,-0.005718708,0.000737326,0.009139224,XArbitraryZVertical,0.397536721,0.111654198,0.126582603,0.901928345,0.100765705,-0.745366216,-0.658995807,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,0.00390625,88.53694,0.0.0.0,33.234.95.54,1,0,
